data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
12/2021,8103685,3.578666667,217181,2904362,530,205311431,71.71,3.9,3914,21236.8
1/2022,6804902,3.567111111,206845,2788190,530,207103004,83.22,4,3520,21205.7
2/2022,7809509,3.742333333,199463,2658708,521,207108880,91.64,3.8,3250,21319.5
3/2022,9805757,4.473,224717,2961595,526,207027241,108.5,3.6,3700,21434.3
4/2022,9582194,4.390888889,214206,2835102,524,207075288,101.78,3.6,3470,21474.1
5/2022,9736728,4.741555556,218316,2904890,526,207295294,109.55,3.6,4020,21573.6
6/2022,10146506,5.270444444,215303,2825479,534,207397000,114.84,3.6,3910,21687
7/2022,9465268,4.913222222,216407,2865888,531,207401139,101.62,3.5,4190,21852.3
8/2022,9944429,4.331777778,220824,2917548,514,207363419,93.67,3.7,4040,21975.8
9/2022,10378504,4.027666667,219737,2936285,521,207446451,84.26,3.5,4200,22080.4
10/2022,10675671,4.145,227656,3007827,512,207437632,87.55,3.7,4260,22201.9
11/2022,9529662,3.989777778,216133,2886914,516,207499051,84.37,3.6,3740,22240.1
12/2022,9005019,3.485777778,223278,2985026,520,207503610,76.44,3.5,3970,22281.9
