data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
11/2020,12551496,2.337444444,3136627,65069466,13947,206170257,40.94,6.7,3484,19692.2
12/2020,11842587,2.410777778,3276301,67932857,13890,206082419,47.02,6.7,3286,19819.7
1/2021,11418848,2.548111111,3238012,66369992,13711,204949498,52,6.3,3414,21725.4
2/2021,10690444,2.704888889,2895669,59045909,13677,204907618,59.04,6.2,2792,20189.4
3/2021,14048477,3.023888889,3320875,67983976,13597,205020384,62.33,6.1,3492,24371.9
4/2021,14363896,3.097333333,3218845,66078894,13638,205335333,61.72,6.1,3868,21180.9
5/2021,17152518,3.221555556,3209833,65751368,13709,205618556,65.17,5.8,4098,20769.3
6/2021,21146248,3.318333333,3241677,66507743,13768,205362834,71.38,5.9,4107,20798.9
7/2021,23023620,3.411555556,3318524,68944100,13786,205320695,72.49,5.4,4240,21023.3
8/2021,23112793,3.452111111,3412008,72264954,13948,205338537,67.73,5.2,4320,21082.7
9/2021,25859262,3.465555556,3298460,69885978,13967,205470661,71.65,4.8,4276,20909.7
10/2021,28450808,3.559444444,3460519,73483499,14025,205377642,81.48,4.5,4482,21073
11/2021,27427126,3.662777778,3404863,72234794,14026,205354356,79.15,4.2,3977,21176.6
12/2021,25260662,3.578666667,3429534,73064488,14046,205311431,71.71,3.9,3914,21236.8
1/2022,20571574,3.567111111,3336702,70915813,13803,207103004,83.22,4,3520,21205.7
2/2022,23639138,3.742333333,3174202,67194191,13833,207108880,91.64,3.8,3250,21319.5
3/2022,30669181,4.473,3801385,76212929,13881,207027241,108.5,3.6,3700,21434.3
4/2022,30201639,4.390888889,3618258,72333602,13780,207075288,101.78,3.6,3470,21474.1
5/2022,31303253,4.741555556,3688351,73982229,13943,207295294,109.55,3.6,4020,21573.6
6/2022,33343879,5.270444444,3695852,73891489,13971,207397000,114.84,3.6,3910,21687
7/2022,31682847,4.913222222,3667850,73820913,13919,207401139,101.62,3.5,4190,21852.3
8/2022,33773852,4.331777778,3804078,76398032,13923,207363419,93.67,3.7,4040,21975.8
9/2022,34767689,4.027666667,3606784,72309896,13891,207446451,84.26,3.5,4200,22080.4
10/2022,35945295,4.145,3726253,74396174,13820,207437632,87.55,3.7,4260,22201.9
11/2022,33692581,3.989777778,3660814,72871935,13739,207499051,84.37,3.6,3740,22240.1
12/2022,32517114,3.485777778,3736957,74330195,13761,207503610,76.44,3.5,3970,22281.9
