data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
4/2020,2408853,2.109111111,506895,14805965,4557,206819027,16.55,14.7,2322,21050.3
5/2020,2730606,2.147111111,491172,15028212,4434,206810593,28.56,13.2,3112,20216.6
6/2020,4957251,2.35,545488,16773060,4482,205487203,38.31,11,3730,20171.3
7/2020,6986293,2.439333333,666729,20301479,4670,205345032,40.71,10.2,3797,20379.3
8/2020,7388979,2.434888889,627698,18838171,4668,205773417,42.34,8.4,3816,19773.2
9/2020,8299232,2.426111111,650065,19739054,4647,206137782,39.63,7.9,3745,19905.2
10/2020,8834580,2.389888889,672583,20384828,4668,206082651,39.4,6.9,3814,19878.9
11/2020,7965896,2.337444444,646951,19342846,4652,206170257,40.94,6.7,3484,19692.2
12/2020,7369557,2.410777778,644795,19608845,4609,206082419,47.02,6.7,3286,19819.7
1/2021,6831319,2.548111111,624597,18740254,4380,204949498,52,6.3,3414,21725.4
2/2021,6205704,2.704888889,559757,16516765,4384,204907618,59.04,6.2,2792,20189.4
3/2021,8358836,3.023888889,649250,19007270,4374,205020384,62.33,6.1,3492,24371.9
4/2021,8606553,3.097333333,639971,18906698,4372,205335333,61.72,6.1,3868,21180.9
5/2021,10496218,3.221555556,639979,19012092,4372,205618556,65.17,5.8,4098,20769.3
6/2021,13037781,3.318333333,671748,19491317,4326,205362834,71.38,5.9,4107,20798.9
7/2021,14467659,3.411555556,691052,20762179,4323,205320695,72.49,5.4,4240,21023.3
8/2021,14325178,3.452111111,707356,21386327,4348,205338537,67.73,5.2,4320,21082.7
9/2021,15813854,3.465555556,695965,21108051,4350,205470661,71.65,4.8,4276,20909.7
10/2021,17302542,3.559444444,737308,22466097,4378,205377642,81.48,4.5,4482,21073
11/2021,17036137,3.662777778,721006,21912044,4401,205354356,79.15,4.2,3977,21176.6
12/2021,15563824,3.578666667,749409,22955579,4401,205311431,71.71,3.9,3914,21236.8
1/2022,12317734,3.567111111,729192,22379833,4466,207103004,83.22,4,3520,21205.7
2/2022,14189912,3.742333333,670184,20313874,4466,207108880,91.64,3.8,3250,21319.5
3/2022,18673319,4.473,748659,22863452,4499,207027241,108.5,3.6,3700,21434.3
4/2022,18554886,4.390888889,732691,22403415,4500,207075288,101.78,3.6,3470,21474.1
5/2022,19412317,4.741555556,748984,22813029,4522,207295294,109.55,3.6,4020,21573.6
6/2022,20904348,5.270444444,747235,22854147,4522,207397000,114.84,3.6,3910,21687
7/2022,20047712,4.913222222,747942,22771915,4485,207401139,101.62,3.5,4190,21852.3
8/2022,21417740,4.331777778,774591,23650198,4511,207363419,93.67,3.7,4040,21975.8
9/2022,22035903,4.027666667,724097,22144194,4512,207446451,84.26,3.5,4200,22080.4
10/2022,22861987,4.145,748405,22556034,4489,207437632,87.55,3.7,4260,22201.9
11/2022,21868489,3.989777778,717906,21763477,4487,207499051,84.37,3.6,3740,22240.1
12/2022,21423517,3.485777778,754055,22619727,4487,207503610,76.44,3.5,3970,22281.9
