data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
9/2019,284507477,2.839444444,2338582,45097384,7916,206333366,56.95,3.5,3331,18722.6
10/2019,311006429,2.890333333,2498643,48117021,7918,206239378,53.96,3.6,3227,18791.9
11/2019,284201631,2.856,2322109,44858052,7936,206318945,57.03,3.6,3084,18880.2
12/2019,282716017,2.806444444,2416987,46607392,7948,206395325,59.88,3.6,3025,18854.8
1/2020,281917202,2.777666667,2436351,47035770,7929,205737427,57.52,3.5,2667,19065.2
2/2020,274489102,2.695333333,2232711,43207699,7931,205614513,50.54,3.5,2677,19197
3/2020,145472219,2.475444444,2218501,43131499,7932,205454614,29.21,4.4,2557,18838.8
4/2020,25257243,2.109111111,1534087,29616011,7777,206819027,16.55,14.7,2322,21050.3
5/2020,30874806,2.147111111,1854923,35289803,7583,206810593,28.56,13.2,3112,20216.6
6/2020,49195964,2.35,2206006,41784133,7655,205487203,38.31,11,3730,20171.3
7/2020,69827870,2.439333333,2380319,44180289,7646,205345032,40.71,10.2,3797,20379.3
8/2020,76693011,2.434888889,2311806,42901823,7647,205773417,42.34,8.4,3816,19773.2
9/2020,91418327,2.426111111,2270005,41945884,7685,206137782,39.63,7.9,3745,19905.2
10/2020,101885978,2.389888889,2343623,43323167,7682,206082651,39.4,6.9,3814,19878.9
11/2020,86598136,2.337444444,2200064,40781689,7680,206170257,40.94,6.7,3484,19692.2
12/2020,88075739,2.410777778,2334297,43194010,7684,206082419,47.02,6.7,3286,19819.7
1/2021,84416834,2.548111111,2312044,42580471,7683,204949498,52,6.3,3414,21725.4
2/2021,78730156,2.704888889,2054309,37921615,7685,204907618,59.04,6.2,2792,20189.4
3/2021,102195004,3.023888889,2354836,43565735,7593,205020384,62.33,6.1,3492,24371.9
4/2021,103838795,3.097333333,2273947,41983651,7634,205335333,61.72,6.1,3868,21180.9
5/2021,118464385,3.221555556,2251337,41463919,7635,205618556,65.17,5.8,4098,20769.3
6/2021,139215233,3.318333333,2237368,41338908,7695,205362834,71.38,5.9,4107,20798.9
7/2021,140456957,3.411555556,2288261,42281778,7753,205320695,72.49,5.4,4240,21023.3
8/2021,136399402,3.452111111,2356005,44813542,7834,205338537,67.73,5.2,4320,21082.7
9/2021,145966101,3.465555556,2241368,42656102,7827,205470661,71.65,4.8,4276,20909.7
10/2021,168872228,3.559444444,2345850,44501045,7830,205377642,81.48,4.5,4482,21073
11/2021,155751704,3.662777778,2310724,43867269,7830,205354356,79.15,4.2,3977,21176.6
12/2021,153419853,3.578666667,2300295,43564994,7832,205311431,71.71,3.9,3914,21236.8
1/2022,125051717,3.567111111,2235964,42244654,7549,207103004,83.22,4,3520,21205.7
2/2022,143679511,3.742333333,2151168,40896729,7583,207108880,91.64,3.8,3250,21319.5
3/2022,170363593,4.473,2651763,46551757,7570,207027241,108.5,3.6,3700,21434.3
4/2022,173133486,4.390888889,2508049,43532018,7476,207075288,101.78,3.6,3470,21474.1
5/2022,176558900,4.741555556,2556371,44647382,7604,207295294,109.55,3.6,4020,21573.6
6/2022,183279949,5.270444444,2562728,44458942,7611,207397000,114.84,3.6,3910,21687
7/2022,168162470,4.913222222,2535883,44476245,7566,207401139,101.62,3.5,4190,21852.3
8/2022,174356640,4.331777778,2628987,45829777,7552,207363419,93.67,3.7,4040,21975.8
9/2022,191006759,4.027666667,2496226,43511221,7539,207446451,84.26,3.5,4200,22080.4
10/2022,200359675,4.145,2582855,45093860,7537,207437632,87.55,3.7,4260,22201.9
11/2022,194236175,3.989777778,2562004,44594073,7457,207499051,84.37,3.6,3740,22240.1
12/2022,186021475,3.485777778,2595927,45060784,7472,207503610,76.44,3.5,3970,22281.9
